yn ,11097
 yn,9494
dd ,8737
 y ,5920
edd,5453
 i ,5418
 ma,4896
d y,4705
ydd,4663
 r ,4442
 ar,4123
au ,4094
ae ,3917
oed,3905
mae,3831
 o ,3810
n y,3421
th ,3352
 dd,3286
 gw,3212
 cy,3070
 n ,3063
ddi,3053
 ei,3017
eth,2943
ar ,2914
 a ,2806
 ga,2805
di ,2704
 gy,2602
 ll,2532
an ,2520
wyd,2517
yd ,2508
od ,2503
yr ,2417
ei ,2383
 rh,2334
ch ,2308
odd,2305
n a,2249
ol ,2177
r y,2123
 we,2114
n d,2097
wed,2090
n g,2078
io ,2071
 am,2069
el ,2044
 ca,2008
ith,1999
 di,1973
 yr,1955
aet,1932
wn ,1901
edi,1898
en ,1876
iad,1857
d a,1807
 da,1777
ad ,1724
 ch,1723
on ,1702
i d,1699
 oe,1690
r a,1673
 fe,1669
n c,1668
 dy,1657
er ,1649
roe,1623
 ro,1588
 he,1563
ddo,1550
i g,1526
 me,1499
am ,1498
dda,1473
 hy,1467
ai ,1464
l y,1440
 ym,1391
yw ,1386
gan,1375
 bo,1375
ir ,1356
wy ,1350
lla,1347
r g,1340
id ,1340
i r,1329
i n,1318
ed ,1295
fod,1288
 by,1288
ll ,1284
 dr,1283
r o,1260
hi ,1252
 ff,1247
nt ,1232
 go,1229
 ni,1226
h y,1222
 de,1215
d o,1212
rdd,1206
hyn,1205
rth,1184
es ,1182
d i,1171
n e,1167
o r,1162
gwe,1157
i f,1155
n o,1151
iau,1151
 fy,1148
 ne,1141
n f,1139
 ac,1139
all,1137
 sy,1124
i a,1124
 un,1123
fel,1122
n b,1121
eit,1115
dau,1110
ynn,1107
rwy,1106
d h,1104
n i,1084
 hi,1081
da ,1081
 be,1079
ac ,1074
r d,1071
ni ,1063
wel,1058
i w,1058
fyd,1053
d e,1051
nd ,1043
l a,1043
ych,1029
 ge,1020
idd,1019
ael,1014
u a,1012
ell,1011
rha,998
in ,994
n n,990
e r,987
ysg,985
ion,985
eu ,985
aid,984
wyn,974
cyf,972
s y,967
dio,965
fer,964
d g,964
 an,959
na ,951
 br,951
ddy,946
dde,942
y d,937
un ,934
dia,927
nyd,921
n h,917
lan,917
i b,916
y g,915
ant,908
af ,903
 yw,893
ach,893
y c,891
r c,889
gwy,889
han,888
 fa,887
d d,884
 tr,876
dyn,875
i c,866
gyf,861
nia,859
 pe,855
byd,855
 ce,850
cyn,843
 na,834
chw,834
thi,833
 pa,831
ig ,829
ewn,829
ada,827
bod,826
law,825
yfr,816
lwy,814
d c,814
dol,813
e n,808
yma,804
 ha,802
 co,802
wr ,801
nol,800
y n,793
ryd,791
ddw,791
r h,789
gol,789
lle,784
 ys,783
os ,781
ara,780
 ba,778
gyd,777
awn,774
i y,771
a r,765
dim,764
 si,759
h a,759
wch,758
ria,758
 fo,755
ait,750
 ad,749
n m,747
rif,745
r e,741
im ,738
o a,735
n s,734
ymr,733
ang,732
neu,728
lia,726
u y,725
no ,723
mew,723
rhy,722
y m,720
yda,720
o g,715
 bl,715
nod,714
 er,709
rae,703
y b,697
d m,694
dod,693
dig,692
aw ,689
 do,686
eg ,685
 pr,683
cym,681
i h,680
efy,680
do ,678
n r,672
dwy,672
rai,670
m y,657
wyr,656
r b,652
tha,650
ynt,649
 ho,648
lyn,645
n l,644
ma ,644
lly,644
diw,643
gor,641
o d,637
 ia,636
g y,632
rch,631
awr,631
enn,630
u c,629
gwa,628
 at,624
eir,622
wei,616
is ,613
fyn,612
rio,609
ia ,608
gen,608
aen,608
a c,607
ngh,605
u r,603
a d,601
u g,600
nes,598
efn,598
dan,598
i m,596
iol,595
 dw,594
hyd,592
dar,590
oes,589
lli,587
hef,582
hai,580
n w,576
iae,576
nna,572
 nh,572
wys,570
ri ,569
r f,569
sia,567
dai,567
o f,566
l e,566
dy ,566
ian,565
or ,564
 on,564
ein,564
ain,563
ond,561
fy ,559
t y,558
len,558
ann,556
 wy,555
ud ,554
 te,553
yna,552
yng,551
wer,549
tho,545
dyd,544
y f,543
 wr,543
ti ,542
 po,542
 my,542
yfe,541
lae,541
 eu,541
dra,540
 cr,538
yno,536
eud,536
 sa,535
hed,532
hau,532
 ti,530
le ,530
i o,529
i e,529
ynd,527
dro,527
ard,527
wai,526
 mo,524
cae,521
sgo,518
d b,518
cha,517
chi,516
 bu,516
yst,515
myn,515
doe,515
l i,514
g a,514
nhw,512
lu ,512
ydy,511
ill,511
wrt,510
u d,508
red,508
nu ,508
hio,508
 mi,507
dw ,507
ng ,506
a g,505
iaw,504
gal,504
d p,504
fan,503
nau,500
hen,500
ech,500
wne,496
s a,496
ffe,496
eb ,494
lad,492
ned,488
add,488
ys ,487
al ,487
hw ,486
d w,485
ref,484
rau,484
 gr,484
ano,483
n t,482
gae,482
wyt,481
ro ,480
 al,479
d f,478
yth,477
gyn,477
y t,476
 yd,476
nio,476
et ,476
u n,475
r m,475
hol,473
afo,472
 no,469
mwy,468
