 yn ,2841
 mae,1698
mae ,1651
bod ,1140
i n ,1028
 ni ,993
 bod,941
 nhw,928
d yn,906
 fel,904
nhw ,841
yn y,776
eth ,718
 wed,690
dyn ,683
yna ,650
ydd ,631
 chi,629
chi ,603
 ar ,602
 yna,597
 yym,586
yn n,570
od y,567
beth,567
wedi,552
 pla,551
plan,545
 hyn,541
 yr ,527
edi ,511
 ddi,511
 n g,507
 dwi,499
dwi ,499
n ni,490
dim ,489
iau ,487
edd ,468
ae n,468
fel ,463
 bet,442
oedd,439
fell,430
elly,428
eith,427
n y ,420
n gw,419
 ryd,418
 ond,417
 oed,416
dd y,410
d i ,407
 gyd,405
eud ,405
 yy ,403
rydy,402
ond ,400
ael ,392
yym ,391
n yn,390
ion ,384
ydyn,378
ddim,377
ant ,371
 o r,369
 ac ,358
n i ,356
lly ,356
hau ,352
yn g,349
ni n,345
lant,340
d y ,337
eddw,336
i r ,328
 gwy,326
o r ,323
ch c,322
 gwe,321
wch ,320
ewn ,320
wydd,319
nhig,316
lanh,316
e n ,316
anhi,316
 med,310
 hef,310
ae r,308
 y p,307
gyda,307
efyd,306
 i g,305
h ch,304
yn a,300
neud,300
mewn,298
 mew,298
ardd,298
yda ,296
ynd ,294
n nh,294
dau ,294
yn d,291
 cae,291
 neu,290
 n d,290
hefy,289
ydi ,288
cael,288
wneu,285
neu ,285
 i r,282
rdd ,281
ddwl,280
hw n,279
d o ,276
i we,275
 yma,274
i dd,274
awn ,271
m yn,268
ybod,267
wybo,267
w n ,267
od n,266
medd,266
hi n,265
 am ,265
 gwn,264
 r p,261
 bla,261
r ar,260
 sy ,259
obl ,258
ych ,254
 i n,254
 un ,253
dwl ,253
hynn,251
fod ,249
fyd ,248
 myn,246
yn b,243
 ydi,243
gwyb,243
 fi ,242
ithi,241
 ard,241
alla,241
wi n,240
 syd,240
 gal,239
 byd,239
 o b,238
yr a,237
n yr,236
mynd,236
gwne,235
aeth,235
 ach,235
yn c,234
 eu ,233
im y,232
acho,232
ynny,230
yma ,229
 ifa,229
chos,229
thau,228
ifan,228
fanc,228
sydd,227
llai,227
ach ,227
n ga,226
 a m,226
iawn,225
e nh,224
hyn ,223
etha,223
n o ,222
a ma,222
 a d,221
th y,220
 cyf,220
weld,219
y n ,218
 iaw,218
gion,215
e yn,215
igio,212
higi,212
gall,212
awr ,212
blan,210
 wel,208
 pob,208
e r ,208
efo ,208
wrth,207
yn e,206
peth,205
 rhy,204
 pet,203
eld ,203
ar y,203
 ag ,203
d ma,202
wn i,201
rth ,201
nnu ,201
 n c,201
gwel,201
 efo,201
ddio,201
 i f,200
 cyn,200
ae y,200
 lle,198
anc ,198
yym,196
o n ,196
dio ,196
yn m,195
 wrt,193
n ca,193
rhyw,192
 i d,192
dd a,191
au y,191
 bwy,190
 bob,190
thio,187
 ei ,187
 rha,186
nny ,186
lai ,186
i gw,186
aith,186
u yn,185
sy n,185
n hy,185
 chw,185
r y ,184
 hwn,184
allu,184
wysi,183
 gwa,183
 fod,183
 yw ,182
l if,182
yn s,181
i gy,180
fan ,180
yddi,179
nid ,179
c yn,179
a r ,179
u r ,178
d a ,178
 y c,176
an y,176
 y g,175
hos ,175
d ni,175
l yn,174
llu ,174
bydd,174
adau,174
n me,173
 mwy,173
 os ,171
nydd,171
ith ,171
ysig,170
bl i,170
ch y,169
n ma,168
i yn,168
hio ,168
 all,167
ddyn,166
edyn,165
 o d,164
 n m,164
 lla,164
jyst,164
 jys,164
wedy,163
n a ,163
i bo,163
eisi,162
yd y,161
dych,161
dd o,160
 n b,159
ac y,159
n gy,158
fall,158
d ef,158
bwys,157
d nh,156
 a b,156
pobl,155
efal,155
annu,155
nd i,154
n dd,154
 i b,154
 efa,154
 o n,153
i me,153
 ang,153
ydyc,152
weit,151
 oni,151
yst ,150
ysgo,150
bach,150
 bac,149
 ran,148
onid,148
n rh,148
sig ,146
n go,146
 ein,146
ein ,146
 cym,146
 ysg,145
h yn,145
siau,144
el y,144
r yn,142
 gan,142
yn o,141
weud,141
dweu,141
 dim,141
sgol,140
 fe ,140
el e,140
n ar,139
lan ,139
 gyf,139
 fwy,139
 a r,139
n sy,138
n cy,138
l bo,138
au a,138
th o,137
h o ,136
ath ,136
aint,136
n am,135
i ni,135
 fan,135
a ch,135
 ffo,134
dol ,134
 pan,133
iad ,133
gen ,133
wbet,132
ywbe,130
 y d,130
int ,130
 y b,129
t yn,129
ran ,129
od o,129
chwa,129
yn f,128
s yn,128
ail ,128
t o ,127
ffor,127
 dyd,127
 r c,126
post,126
os y,126
hywb,126
 gwr,126
 dda,126
yn r,125
oes ,125
n ei,125
itha,125
i fe,125
enty,125
 dyn,125
di c,125
ae h,125
y pl,124
yn h,124
ud y,124
l i ,124
isia,124
 eis,124
ompo,123
n de,123
mpos,123
 i w,123
 gae,123
 eff,123
dysg,123
dod ,123
ntyn,122
lion,122
lent,122
i ch,122
 r a,121
 o g,121
nt y,121
nol ,121
 gor,121
ddi ,121
u bo,120
pan ,120
ngen,120
n bo,120
l y ,120
ange,120
 ydy,119
n bw,119
io a,119
 gyn,119
n fe,118
lann,118
y ma,117
wn y,117
ni y,117
 naw,117
n ll,116
lwyd,116
d yy,116
a dw,116
o ra,115
i ga,115
au n,115
an h,115
 yn,114
 ryw,114
nna ,114
n my,114
nawr,114
d fe,114
yfu ,113
 gym,113
all ,113
y gw,112
wyn ,112
olio,112
liau,112
ell ,112
 o f,111
 n a,111
e o ,111
u gw,110
n ba,110
wi m,109
o fe,109
n yy,109
 dwe,109
allw,109
tyn ,108
o ar,108
fnyd,108
fath,108
efny,108
dig ,108
defn,108
d bo,108
ae o,108
 y t,107
ynna,107
od a,107
lle ,107
iada,107
h sy,107
ford,107
ffei,107
s ma,106
on y,106
n ys,106
n dw,106
 i c,106
 dyf,106
bobl,106
 bar,106
au b,106
th s,105
r pl,105
nt a,105
i bl,105
a n ,105
sicr,104
rwyd,104
mor ,104
higy,104
 haw,104
 a f,104
 tyf,103
ordd,103
na n,103
igyn,103
 hun,103
 fat,103
n ff,102
ain ,102
ost ,101
h i ,101
gyn ,101
gol ,101
 dod,101
u a ,100
r un,100
 n s,100
w i ,99
 sic,99
rhai,99
rau ,99
anol,99
 idd,98
hwar,98
gael,98
a ni,98
