n ,176917
 y,144061
d ,132766
yn,128488
dd,125781
r ,112387
 a,100153
i ,92329
 g,86203
 d,78368
ae,76882
u ,75482
 m,73689
 c,71263
 r,70228
l ,68392
o ,66581
ed,65587
yd,63348
y ,59293
wy,58794
di,58239
ar,56752
e ,56179
an,55443
ma,54019
th,50220
a ,49093
ei,48703
ia,47178
 f,45663
od,45565
 e,45098
da,44175
 o,43220
ll,42455
 n,42016
 b,41939
au,41724
ch,40556
ad,40519
 h,39557
ol,39303
er,38275
 i,36147
en,34052
h ,33644
io,33019
 s,32738
ai,32187
el,31929
ra,31674
we,31443
la,30604
ro,29808
fe,29422
 p,29013
ni,28689
ri,27457
s ,27429
 w,27250
ha,27127
oe,26825
ga,26681
de,26604
gw,26220
yr,25715
et,25671
gy,25439
 t,25176
cy,24795
na,24606
g ,24365
 l,24153
wn,24056
ff,23820
do,23684
ys,23535
hy,23359
w ,23244
on,23103
no,22804
yf,22684
nn,22473
he,22392
ne,22384
go,22202
re,22063
ef,21651
id,21631
le,21042
rh,20931
ym,20688
or,20315
al,20209
me,20135
li,19609
dy,19232
t ,18870
aw,18755
fa,18753
in,18659
ca,18609
fo,18485
fy,18343
st,17730
ew,17382
af,17107
wr,17054
ac,16922
am,16919
hw,16462
ir,16431
yw,16383
f ,16243
ho,15996
ly,15985
wa,15984
il,15928
eu,15870
it,15819
m ,15317
si,15293
tr,15146
un,14956
dr,14892
ry,14813
es,14592
ng,14191
nt,13663
 u,13624
rw,13539
at,13469
ig,13402
if,13360
is,13336
ny,13320
dw,13052
sg,13018
c ,12638
lw,12522
os,12358
sy,12317
hi,12196
as,11877
yl,11837
by,11563
rd,11556
ge,11513
fr,11470
lo,11213
iw,10958
ta,10852
wi,10844
rt,10811
te,10463
se,10066
og,9955
nd,9897
nw,9842
bo,9560
bl,9402
be,9368
eg,9228
sa,9020
fi,8706
gr,8696
ti,8573
rf,8550
ba,8379
br,8345
fn,8022
hr,7743
du,7704
ag,7591
rc,7582
pe,7482
gl,7437
lu,7238
b ,7176
so,7100
co,6917
fl,6836
pa,6814
ob,6627
gi,6460
ud,6334
to,6288
nh,6218
ur,6103
ce,5896
eb,5772
wl,5739
hu,5737
ec,5648
ty,5552
of,5537
yc,5490
yg,5472
mo,5463
pr,5294
dl,5240
â ,4943
cr,4886
eo,4870
mi,4771
rn,4590
nu,4504
yt,4494
 â,4354
bw,4324
ic,4252
po,4234
fw,4234
mw,4197
fu,3955
tu,3931
oc,3924
my,3795
sw,3768
ie,3670
em,3653
ml,3560
md,3545
wo,3485
us,3444
rs,3429
rb,3221
wc,3174
wm,3160
ci,3104
ns,3069
sb,3056
ws,3031
gh,3018
im,3006
nc,2995
ea,2950
df,2836
ôl,2817
gu,2809
om,2788
pl,2700
 ô,2667
lf,2661
nf,2653
ul,2568
ab,2562
rl,2542
nr,2524
cw,2524
bu,2496
p ,2489
mh,2480
rm,2451
lt,2436
wd,2435
mr,2422
ru,2380
ya,2357
mu,2346
ph,2338
lc,2299
ah,2294
uo,2280
pw,2243
bi,2231
cl,2230
su,2216
op,2208
ib,2191
ot,2188
yb,2184
rg,2163
pi,2134
hl,2078
nl,2057
oi,2038
mp,1967
mg,1934
ct,1929
ld,1889
hn,1831
ap,1821
rr,1638
yh,1637
hg,1626
ua,1591
wb,1521
tw,1512
lm,1504
oh,1471
ms,1453
sn,1425
uc,1393
ow,1370
